,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,1.0003,1.0003,-0.03%,开放申购,开放赎回,010828,2021-04-30
2,1.0006,1.0006,0.06%,开放申购,开放赎回,010828,2021-04-29
3,1.0000,1.0000,0.00%,开放申购,开放赎回,010828,2021-04-28
4,1.0000,1.0000,-0.05%,开放申购,开放赎回,010828,2021-04-27
5,1.0005,1.0005,-0.12%,封闭期,封闭期,010828,2021-04-26
6,1.0017,1.0017,,封闭期,封闭期,010828,2021-04-23
7,1.0006,1.0006,,封闭期,封闭期,010828,2021-04-16
8,1.0001,1.0001,,封闭期,封闭期,010828,2021-04-09
9,1.0005,1.0005,,封闭期,封闭期,010828,2021-04-02
10,1.0006,1.0006,,封闭期,封闭期,010828,2021-03-26
12,1.0000,1.0000,0.00%,封闭期,封闭期,010828,2021-03-19
13,1.0000,1.0000,,封闭期,封闭期,010828,2021-03-18
